,en,fr,es,de,ru,pl
0,abandon,abandonner,abandonar,aufgeben,покидать,opuścić
1,ability,capacité,capacidad,Fähigkeit,способность,umiejętność
2,able,capable,capaz,fähig,способный,zdolny
3,about,à propos,acerca de,um,о,o
4,above,au-dessus de,arriba,über,выше,powyżej
5,abroad,à l'étranger,en el extranjero,im Ausland,за границей,za granicą
6,absolute,absolu,absoluto,Absolute,абсолютный,absolutny
7,absolutely,absolument,absolutamente,absolut,абсолютно,absolutnie
8,academic,académique,académico,akademisch,академический,akademicki
9,accept,accepter,aceptar,akzeptieren,принимать,przyjąć
10,acceptable,acceptable,aceptable,akzeptabel,приемлемый,do przyjęcia
11,access,accéder,acceso,Zugang,доступ,dostęp
12,accident,accident,accidente,Unfall,несчастный случай,wypadek
13,accommodation,hébergement,alojamiento,Unterkunft,размещение,zakwaterowanie
14,accompany,accompagner,acompañar,begleiten,сопровождать,towarzyszyć
15,according to,Selon moi,según,nach,Согласно,zgodnie z
16,account,compte,cuenta,Konto,счет,konto
17,accurate,précis,preciso,genau,точный,dokładny
18,accuse,accuser,acusar,beschuldigen,обвинять,oskarżać
19,achieve,atteindre,lograr,erreichen,достигать,osiągnąć
20,achievement,réalisation,logro,Leistung,достижение,osiągnięcie
21,acknowledge,reconnaître,reconocer,anerkennen,сознавать,uznawać
22,acquire,acquérir,adquirir,erwerben,приобретать,nabywać
23,across,à travers,al otro lado de,über,через,przez
24,act,acte,acto,Akt,действовать,działać
25,action,action,acción,Aktion,действие,działanie
26,active,actif,activo,aktiv,активный,aktywny
27,activity,activité,actividad,Aktivität,активность,działalność
28,actor,acteur,actor,Schauspieler,актер,aktor
29,actress,actrice,actriz,Darstellerin,актриса,aktorka
30,actual,réel,actual,tatsächlich,действительный,rzeczywisty
31,actually,en fait,de hecho,Genau genommen,на самом деле,Właściwie
32,ad,annonce,anuncio,Anzeige,объявление,ogłoszenie
33,adapt,adapter,adaptar,anpassen,адаптировать,dostosować
34,add,ajouter,agregar,hinzufügen,добавлять,dodać
35,addition,ajout,suma,Zusatz,добавление,dodatek
36,additional,supplémentaire,adicional,zusätzlich,дополнительный,dodatkowy
37,address,adresse,DIRECCIÓN,Adresse,адрес,adres
38,administration,administration,administración,Verwaltung,администрация,administracja
39,admire,admirer,admirar,bewundern,восхищаться,podziwiać
40,admit,admettre,admitir,zugeben,признавать,przyznawać
41,adopt,adopter,adoptar,adoptieren,усыновить,przyjąć
42,adult,adulte,adulto,Erwachsene,взрослый,dorosły
43,advance,avance,avance,Vorauszahlung,продвигать,osiągnięcie
44,advanced,avancé,avanzado,fortschrittlich,передовой,zaawansowany
45,advantage,avantage,ventaja,Vorteil,преимущество,korzyść
46,adventure,aventure,aventura,Abenteuer,приключение,przygoda
47,advertise,annoncer,anunciar,werben,рекламировать,reklamować
48,advertisement,publicité,anuncio,Werbung,реклама,reklama
49,advertising,publicité,publicidad,Werbung,реклама,reklama
50,advice,conseil,consejo,Beratung,совет,rada
51,advise,conseiller,aconsejar,beraten,советовать,radzić
52,affair,affaire,amorío,Affäre,роман,romans
53,affect,affecter,afectar,beeinflussen,оказывать воздействие,oddziaływać
54,afford,permettre,poder pagar,leisten,предоставлять,pozwalać
55,afraid,effrayé,asustado,besorgt,испуганный,przestraszony
56,after,après,después,nach,после,Po
57,afternoon,après-midi,tarde,Nachmittag,полдень,popołudnie
58,afterwards,après,después,nachher,после,następnie
59,again,encore,de nuevo,wieder,снова,Ponownie
60,against,contre,contra,gegen,против,przeciwko
61,age,âge,edad,Alter,возраст,wiek
62,aged,âgé,viejo,gealtert,пожилой,w wieku
63,agency,agence,agencia,Agentur,агентство,agencja
64,agenda,ordre du jour,orden del día,Agenda,повестка дня,porządek obrad
65,agent,agent,agente,Agent,агент,agent
66,aggressive,agressif,agresivo,aggressiv,агрессивный,agresywny
67,ago,il y a,atrás,vor,назад,temu
68,agree,accepter,aceptar,zustimmen,соглашаться,zgadzać się
69,agreement,accord,acuerdo,Vereinbarung,соглашение,porozumienie
70,ah,ah,ahorcado,Ah,ах,Ah
71,ahead,devant,adelante,voraus,предстоящий,dalej
72,aid,aide,ayuda,Hilfe,помогать,pomoc
73,aim,but,apuntar,Ziel,цель,cel
74,air,air,aire,Luft,воздух,powietrze
75,aircraft,aéronef,aeronave,Flugzeug,самолеты,samolot
76,airline,compagnie aérienne,aerolínea,Fluggesellschaft,авиакомпания,linia lotnicza
77,airport,aéroport,aeropuerto,Flughafen,аэропорт,lotnisko
78,alarm,alarme,alarma,Alarm,тревога,alarm
79,album,album,álbum,Album,альбом,album
80,alcohol,alcool,alcohol,Alkohol,алкоголь,alkohol
81,alcoholic,alcoolique,alcohólico,alkoholisch,алкоголик,alkoholowy
82,alive,vivant,vivo,lebendig,живой,żywy
83,all,tous,todo,alle,все,Wszystko
84,all right,Allïâdres,todo previo derecho,Alles rechts,allï¿ right,Allïright
85,allow,permettre,permitir,erlauben,позволять,umożliwić
86,almost,presque,casi,fast,почти,prawie
87,alone,seul,solo,allein,один,sam
88,along,le long de,a lo largo de,entlang,вдоль,przed siebie
89,already,déjà,ya,bereits,уже,już
90,also,aussi,también,Auch,также,Również
91,alter,modifier,alterar,ändern,альтернативный,zmieniać
92,alternative,alternative,alternativa,Alternative,альтернатива,alternatywny
93,although,bien que,a pesar de,Obwohl,хотя,Chociaż
94,always,toujours,siempre,stets,всегда,zawsze
95,amazed,étonné,asombrado,erstaunt,поражен,zdziwiony
96,amazing,incroyable,asombroso,toll,удивительный,niesamowity
97,ambition,ambition,ambición,Ehrgeiz,амбиции,ambicja
98,ambitious,ambitieux,ambicioso,ehrgeizig,амбициозный,ambitny
99,among,parmi,entre,unter,среди,wśród
