,en,fr,es,de,ru,pl
0,abandon,abandonner,abandonar,aufgeben,покидать,opuścić
1,ability,capacité,capacidad,Fähigkeit,способность,umiejętność
2,able,capable,capaz,fähig,способный,zdolny
3,about,à propos,acerca de,um,о,o
4,above,au-dessus de,arriba,über,выше,powyżej
5,abroad,à l'étranger,en el extranjero,im Ausland,за границей,za granicą
6,absolute,absolu,absoluto,Absolute,абсолютный,absolutny
7,absolutely,absolument,absolutamente,absolut,абсолютно,absolutnie
8,academic,académique,académico,akademisch,академический,akademicki
9,accept,accepter,aceptar,akzeptieren,принимать,przyjąć
10,acceptable,acceptable,aceptable,akzeptabel,приемлемый,do przyjęcia
11,access,accéder,acceso,Zugang,доступ,dostęp
12,accident,accident,accidente,Unfall,несчастный случай,wypadek
13,accommodation,hébergement,alojamiento,Unterkunft,размещение,zakwaterowanie
14,accompany,accompagner,acompañar,begleiten,сопровождать,towarzyszyć
15,accordingï¿½to,Selon moi,según,nach,Согласно,zgodnie z
16,account,compte,cuenta,Konto,счет,konto
17,accurate,précis,preciso,genau,точный,dokładny
18,accuse,accuser,acusar,beschuldigen,обвинять,oskarżać
19,achieve,atteindre,lograr,erreichen,достигать,osiągnąć
20,achievement,réalisation,logro,Leistung,достижение,osiągnięcie
21,acknowledge,reconnaître,reconocer,anerkennen,сознавать,uznawać
22,acquire,acquérir,adquirir,erwerben,приобретать,nabywać
23,across,à travers,al otro lado de,über,через,przez
24,act,acte,acto,Akt,действовать,działać
25,action,action,acción,Aktion,действие,działanie
26,active,actif,activo,aktiv,активный,aktywny
27,activity,activité,actividad,Aktivität,активность,działalność
28,actor,acteur,actor,Schauspieler,актер,aktor
29,actress,actrice,actriz,Darstellerin,актриса,aktorka
30,actual,,,,,
31,actually,,,,,
32,ad,,,,,
33,adapt,,,,,
34,add,,,,,
35,addition,,,,,
36,additional,,,,,
37,address,,,,,
38,administration,,,,,
39,admire,,,,,
40,admit,,,,,
41,adopt,,,,,
42,adult,,,,,
43,advance,,,,,
44,advanced,,,,,
45,advantage,,,,,
46,adventure,,,,,
47,advertise,,,,,
48,advertisement,,,,,
49,advertising,,,,,
50,advice,,,,,
51,advise,,,,,
52,affair,,,,,
53,affect,,,,,
54,afford,,,,,
55,afraid,,,,,
56,after,,,,,
57,afternoon,,,,,
58,afterwards,,,,,
59,again,,,,,
60,against,,,,,
61,age,,,,,
62,aged,,,,,
63,agency,,,,,
64,agenda,,,,,
65,agent,,,,,
66,aggressive,,,,,
67,ago,,,,,
68,agree,,,,,
69,agreement,,,,,
70,ah,,,,,
71,ahead,,,,,
72,aid,,,,,
73,aim,,,,,
74,air,,,,,
75,aircraft,,,,,
76,airline,,,,,
77,airport,,,,,
78,alarm,,,,,
79,album,,,,,
80,alcohol,,,,,
81,alcoholic,,,,,
82,alive,,,,,
83,all,,,,,
84,allï¿½right,,,,,
85,allow,,,,,
86,almost,,,,,
87,alone,,,,,
88,along,,,,,
89,already,,,,,
90,also,,,,,
91,alter,,,,,
92,alternative,,,,,
93,although,,,,,
94,always,,,,,
95,amazed,,,,,
96,amazing,,,,,
97,ambition,,,,,
98,ambitious,,,,,
99,among,,,,,
100,amount,,,,,
101,analyse,,,,,
102,analysis,,,,,
103,ancient,,,,,
104,and,,,,,
105,anger,,,,,
106,angle,,,,,
107,angry,,,,,
108,animal,,,,,
109,ankle,,,,,
110,anniversary,,,,,
111,announce,,,,,
112,announcement,,,,,
113,annoy,,,,,
114,annoyed,,,,,
115,annoying,,,,,
116,annual,,,,,
117,another,,,,,
118,answer,,,,,
119,anxious,,,,,
120,any,,,,,
121,anybody,,,,,
122,anyï¿½more,,,,,
123,anyone,,,,,
124,anything,,,,,
125,anyway,,,,,
126,anywhere,,,,,
127,apart,,,,,
128,apartment,,,,,
129,apologize,,,,,
130,app,,,,,
131,apparent,,,,,
132,apparently,,,,,
133,appeal,,,,,
134,appear,,,,,
135,appearance,,,,,
136,apple,,,,,
137,application,,,,,
138,apply,,,,,
139,appointment,,,,,
140,appreciate,,,,,
141,approach,,,,,
142,appropriate,,,,,
143,approval,,,,,
144,approve,,,,,
145,approximately,,,,,
146,April,,,,,
147,architect,,,,,
148,architecture,,,,,
149,area,,,,,
150,argue,,,,,
151,argument,,,,,
152,arise,,,,,
153,arm,,,,,
154,armed,,,,,
155,arms,,,,,
156,army,,,,,
157,around,,,,,
158,arrange,,,,,
159,arrangement,,,,,
160,arrest,,,,,
161,arrival,,,,,
162,arrive,,,,,
163,art,,,,,
164,article,,,,,
165,artificial,,,,,
166,artist,,,,,
167,artistic,,,,,
168,as,,,,,
169,ashamed,,,,,
170,ask,,,,,
171,asleep,,,,,
172,aspect,,,,,
173,assess,,,,,
174,assessment,,,,,
175,assignment,,,,,
176,assist,,,,,
177,assistant,,,,,
178,associate,,,,,
179,associated,,,,,
180,association,,,,,
181,assume,,,,,
182,at,,,,,
183,athlete,,,,,
184,atmosphere,,,,,
185,attach,,,,,
186,attack,,,,,
187,attempt,,,,,
188,attend,,,,,
189,attention,,,,,
190,attitude,,,,,
191,attract,,,,,
192,attraction,,,,,
193,attractive,,,,,
194,audience,,,,,
195,August,,,,,
196,aunt,,,,,
197,author,,,,,
198,authority,,,,,
199,autumn,,,,,
200,available,,,,,
201,average,,,,,
202,avoid,,,,,
203,award,,,,,
204,aware,,,,,
205,away,,,,,
206,awful,,,,,
207,baby,,,,,
208,back,,,,,
209,background,,,,,
210,backwards,,,,,
211,bacteria,,,,,
212,bad,,,,,
213,badly,,,,,
214,bag,,,,,
215,bake,,,,,
216,balance,,,,,
217,ball,,,,,
218,ban,,,,,
219,banana,,,,,
220,band,,,,,
221,bank,,,,,
222,bank,,,,,
223,bar,,,,,
224,barrier,,,,,
